"","ï..UDI","Product.ID","Type","Air.temperature","Process.temperature","Rotational.speed","Torque","Tool.wear","Machine.failure"
"1488",1488,"L48667","L",298.2,309.1,1429,48.5,164,0
"4756",4756,"L51935","L",303.4,311.7,1295,51.3,51,1
"6518",6518,"L53697","L",301.1,310.1,1540,36.6,28,0
"9742",9742,"L56921","L",298.9,310.1,1495,42.9,175,0
"4787",4787,"L51966","L",303.8,312.6,1577,41.3,134,0
"2590",2590,"L49769","L",299,308.7,2250,16.6,208,0
"5768",5768,"M20627","M",301.6,311.2,1415,46.5,82,0
"4620",4620,"H34033","H",303.1,311.3,2056,19.7,167,0
"5174",5174,"M20033","M",304.2,313.5,1739,28.1,80,0
"2974",2974,"M17833","M",300.6,309.3,1510,46,87,0
"7117",7117,"L54296","L",301,310.5,1601,33.2,77,0
"6247",6247,"H35660","H",300.8,310.3,1457,46.8,182,0
"9697",9697,"L56876","L",298.9,309.9,1404,39.8,62,0
"6096",6096,"M20955","M",300.9,310.7,1452,47.3,25,0
"1025",1025,"L48204","L",296.2,307.3,1711,29.9,42,0
"6972",6972,"M21831","M",300.7,311,1559,42.8,121,0
"4066",4066,"M18925","M",301.9,310.7,1511,37.6,70,0
"9680",9680,"L56859","L",299.1,310.2,1598,33.4,20,0
"3667",3667,"M18526","M",302.3,311.6,1608,39.9,136,0
"5019",5019,"M19878","M",303.9,313,1620,36.6,80,0
"3483",3483,"L50662","L",301.9,310.8,1540,37.6,83,0
"1268",1268,"M16127","M",298.1,309.6,1549,38.7,43,0
"1884",1884,"M16743","M",298,307.6,1472,46.7,116,0
"9516",9516,"L56695","L",299,310.2,1682,28.8,49,0
"8674",8674,"L55853","L",297.4,308.6,1494,42.6,161,0
"5379",5379,"L52558","L",302.9,312.4,1550,36.9,194,0
"5185",5185,"L52364","L",304,313,1397,42.4,113,0
"5471",5471,"M20330","M",302.7,312.2,1585,35.5,167,0
"872",872,"L48051","L",295.8,306.4,1339,53.2,67,0
"5124",5124,"M19983","M",304.2,313.5,1532,41.3,161,0
"5643",5643,"L52822","L",302.5,312,1495,38.8,186,0
"713",713,"L47892","L",297.5,308.7,1453,37.6,112,0
"8080",8080,"L55259","L",300.2,311.5,1528,36.1,125,0
"4848",4848,"L52027","L",303.4,311.9,1434,44.6,78,0
"600",600,"H30013","H",297.7,309.7,1616,31.1,20,0
"9849",9849,"H39262","H",298.5,309.2,1568,40.6,39,0
"100",100,"L47279","L",298.8,308.8,1523,44.4,55,0
"5882",5882,"L53061","L",301.4,311.1,1952,22.7,131,0
"5513",5513,"L52692","L",302.8,312.2,1682,30.9,58,0
"1791",1791,"L48970","L",298.2,307.9,1847,23.6,69,0
"6549",6549,"L53728","L",301.4,310.8,1770,24.1,112,0
"5420",5420,"L52599","L",302.6,312.3,1321,53.4,42,0
"9102",9102,"H38515","H",297.3,308.2,1653,31.4,9,0
"6370",6370,"H35783","H",300,309.5,1781,24.9,70,0
"5043",5043,"L52222","L",304.1,313.2,1569,35.8,146,0
"2215",2215,"H31628","H",299.7,309.2,1355,44.8,127,0
"2797",2797,"L49976","L",300.2,309.5,1539,35.3,80,0
"789",789,"M15648","M",296.9,308.1,1440,46.3,64,0
"3272",3272,"M18131","M",301.4,310,1689,32.1,207,0
"1373",1373,"M16232","M",298.8,310.3,1573,41.8,91,0
"7446",7446,"L54625","L",300.2,311.7,1553,41.3,44,0
"6380",6380,"L53559","L",300.1,309.7,1485,45.9,100,0
"5809",5809,"L52988","L",301.4,311,1733,25.7,182,0
"6323",6323,"M21182","M",300.7,310.1,1483,40.2,162,0
"7160",7160,"L54339","L",300.1,310,1511,41.7,186,0
"9452",9452,"H38865","H",298,308.7,1536,39.6,99,0
"8424",8424,"L55603","L",299,310.4,1452,46.2,168,0
"8878",8878,"M23737","M",298.1,309.2,1460,45.8,80,0
"4693",4693,"M19552","M",303.4,311.4,1606,29.6,122,0
"2042",2042,"L49221","L",299.1,308.9,1680,27.2,110,0
"7552",7552,"M22411","M",300.2,311.3,1491,37.3,102,0
"7430",7430,"L54609","L",300,311.4,1590,33.6,5,0
"3822",3822,"L51001","L",302.3,310.9,1596,33.5,104,0
"5015",5015,"L52194","L",303.8,313,1452,38.6,72,0
"7722",7722,"L54901","L",300.5,311.6,1425,42.4,102,0
"9740",9740,"L56919","L",298.9,310,1515,42.9,170,0
"8031",8031,"L55210","L",300.6,312,1490,42.2,3,0
"7051",7051,"L54230","L",300.6,310.4,1457,47.7,120,0
"9476",9476,"L56655","L",298.8,309.6,1523,41.9,165,0
"8067",8067,"L55246","L",300.4,311.9,1868,21.3,92,0
"6824",6824,"M21683","M",300.9,310.7,1268,56.3,161,0
"3469",3469,"L50648","L",301.8,310.7,2092,18.6,51,0
"2865",2865,"H32278","H",300.6,309.4,1380,47.6,246,1
"68",68,"H29481","H",298.8,308.9,1466,44.1,184,0
